Description,Orthogroup,acte,ando,chfle,chfus,cyca,enqua,gafa,heaur,hecri,hehe,hemag,hyva,macdac,neno,nema,oula,sama,stgag,sthad,stmer,exadia,golob,gonor,gopla,isnoc,pabor,cebra
desc,OG0006302,2808,3553,1025,176,758,627,559,1167,817,1323,1028,1382,341,3323,3380,3112,2595,1654,2655,615,991,997,598,722,2283,1093,584
desc,OG0005617,845,1019,3918,236,237,1120,698,3790,994,1472,509,1762,146,2424,809,721,4372,920,1057,876,1776,1390,422,382,13,372,13
desc,OG0002375,1890,337,1698,114,105,873,492,1974,1124,2886,1436,414,63,2029,1997,2168,160,1687,1937,1050,2090,2162,1602,1411,7,203,12
desc,OG0004342,489,407,288,78,323,25,0,606,527,440,628,303,306,470,149,417,946,377,433,246,335,339,242,297,1126,425,309
desc,OG0002194,13606,15552,12191,1870,22027,2874,2689,6084,4348,16424,9213,12598,2534,43222,11424,18862,16500,6846,6058,3897,6786,4593,2272,2598,14071,29022,24262
desc,OG0003227,2132,469,0,15,14,468,401,948,847,3236,1014,776,404,1005,2666,1137,849,1522,1360,730,2062,685,493,322,686,1314,768
desc,OG0002832,4699,3528,1336,0,1652,2399,3611,2953,2912,7406,3802,2764,2082,3333,2155,3034,2786,4021,4306,2064,3816,2412,1871,1709,1994,4957,3281
desc,OG0005168,572,117,16,31,58,218,922,419,175,1825,706,220,38,820,207,296,658,848,1121,198,639,493,294,414,618,496,1314
desc,OG0003881,951,480,307,0,0,465,535,1056,688,1950,1452,819,319,1792,558,1132,2133,1068,1108,696,801,1356,713,798,284,1697,3605
desc,OG0006136,1022,3000,203,34,5649,392,960,1426,912,5006,2386,380,1112,1750,2546,1913,1019,1587,1296,1198,856,1235,724,617,603,805,973
desc,OG0003723,2029,193,369,0,113,582,791,1398,1426,2892,1263,576,1762,1901,2503,1489,527,1218,1128,1253,1599,1485,1204,1007,5,207,240
desc,OG0002808,935,38,1111,195,43,966,378,865,539,210024,1668,221,649,2051,2104,1212,5418,3348,4061,510,1027,1004,735,420,406,588,1340
desc,OG0003887,7618,7477,1493,271,788,1862,1534,1837,813,1656,1363,1581,473,5513,901,4292,2839,5881,3902,1480,2054,2341,1741,1627,1457,2071,5282
desc,OG0005281,919,130,15,12,162,218,295,529,265,420,187,160,575,1051,95,299,958,0,101,68,566,235,109,96,434,304,144
desc,OG0005823,493,151,25,0,612,132,176,313,142,390,145,247,631,590,702,1220,1296,201,135,191,126,190,134,124,514,1206,478
desc,OG0003857,134,1301,50,59,0,336,1202,1594,754,1180,428,557,546,1199,1111,369,539,1124,1319,896,881,1664,1166,1388,834,3455,232
desc,OG0004436,2853,433,3028,95,9,756,906,2366,1336,3760,2056,518,813,2062,368,8139,1040,2030,2035,1543,1620,914,762,584,1214,1686,2194
desc,OG0004171,169,18,105,19,51,77,375,734,353,356,106,20,658,743,737,209,535,154,252,152,385,422,334,266,365,542,358
desc,OG0005507,9098,1658,503,341,502,952,1182,2535,1302,4514,1350,179,2264,1492,4094,9690,1018,1658,2218,1163,1343,2323,1689,1357,825,1435,1221
desc,OG0004103,1289,1467,824,283,0,600,49018,1428,1091,4144,1218,1666,1013,5468,2183,1650,1366,2117,1587,1091,1650,2415,1614,1277,2388,2166,377
desc,OG0004036,6137,5184,823,343,102,1432,1100,4598,3871,3392,2507,1234,5578,3453,3028,6107,4067,5923,3359,1241,2140,1675,1101,1030,30,2642,2686
desc,OG0005854,445,88,34,26,174,124,232,161,196,925,199,261,161,260,358,283,208,249,215,136,366,334,204,206,174,356,494
desc,OG0006395,1927,1064,595,197,151,305,293,1518,821,1186,838,365,1324,1549,1051,1881,1166,1042,1164,573,403,808,524,400,1875,1245,896
desc,OG0003461,156,173,351,14,64,0,3350,738,280,2924,828,311,364,1312,1081,833,258,993,1363,576,711,666,603,522,375,987,638
desc,OG0003238,1646,2197,850,103,55,476,538,1914,1297,3138,2310,452,289,2798,2286,1300,2521,1720,1846,1256,1225,1717,1054,1126,444,1093,261
desc,OG0004356,2558,3621,313,390,890,563,1022,2672,2551,3292,5033,1192,2052,5976,1490,4430,3766,5458,5563,2436,3365,2016,1346,1410,2271,4427,620
desc,OG0000303,913,969,378,237,370,873,1636,788,382,2116,377,2042,500,1246,866,2034,792,532,565,293,755,1667,1525,1075,12,1535,1128
desc,OG0001759,112646,97738,13204,3526,67873,19252,9275,27704,29495,11222,50518,9116,54924,36589,18343,71354,7780,36211,38530,11503,21531,5789,4138,4959,59266,79443,74970
desc,OG0005390,3106,1766,14,110,2938,276,1077,870,560,1304,575,317,1090,1555,2587,2579,1573,1157,1739,707,1203,662,394,366,336,1145,1662
desc,OG0006219,6900,2446,411,261,633,632,1220,1110,1026,6982,9873,1314,217,3255,2393,4727,1929,3847,8371,2198,3530,2702,1657,1953,326,509,396
desc,OG0000668,1867,3941,1712,172,151,751,945,1162,809,818,313,953,542,3754,1759,645,1346,273,715,266,1830,686,1001,653,15,575,22
desc,OG0005513,895,137,218,128,400,557,860,372,160,1595,570,345,747,2003,619,702,1077,641,635,348,924,751,507,355,1189,856,1623
desc,OG0007240,1083,694,192,109,3353,111,768,862,404,860,417,222,753,1903,640,1673,784,586,405,278,445,366,351,104,780,225,1298
desc,OG0003702,1909,1700,552,190,0,973,1681,2366,1494,3216,1518,620,970,1869,2482,1866,4450,5215,2040,1246,1652,1162,1306,618,569,1488,1210
desc,OG0004808,5424,4594,874,305,3312,1083,1926,3370,3035,7880,5021,1259,2750,1867,967,4139,1913,5915,6730,2210,3105,5478,3131,3449,1389,5063,7627
desc,OG0007165,772,499,1174,56,2491,75,222,734,525,816,376,492,222,2272,656,654,1063,340,508,126,590,315,241,254,355,528,604
